scaffold,start,end,mid,sites,pi_Egglayer,pi_Brooder,dxy_Egglayer_Brooder,Fst_Egglayer_Brooder
Contig1261,871,3870,2671,1606,0.0052,0.0052,0.0056,0.0241
Contig1261,901,3900,2693,1636,0.0053,0.0054,0.0057,0.025
Contig1261,931,3930,2715,1665,0.0052,0.0053,0.0056,0.025
Contig1261,961,3960,2734,1691,0.0053,0.0053,0.0056,0.0246
Contig1261,991,3990,2751,1715,0.0053,0.0052,0.0056,0.0252
Contig1261,1021,4020,2771,1743,0.0053,0.0051,0.0055,0.0252
Contig1261,1051,4050,2791,1771,0.0052,0.005,0.0055,0.0252
Contig1261,1081,4080,2812,1800,0.0051,0.005,0.0054,0.0251
Contig1261,1111,4110,2819,1811,0.0051,0.005,0.0053,0.0251
Contig1261,1141,4140,2847,1819,0.005,0.0049,0.0053,0.0251
Contig1261,1171,4170,2889,1809,0.0051,0.005,0.0054,0.025
Contig1261,1201,4200,2931,1815,0.005,0.005,0.0053,0.025
Contig1261,1231,4230,2978,1813,0.0051,0.005,0.0054,0.0249
Contig1261,1261,4260,3008,1826,0.005,0.005,0.0053,0.0249
Contig1261,1291,4290,3026,1852,0.0049,0.005,0.0053,0.0248
Contig1261,1321,4320,3038,1869,0.0049,0.0049,0.0052,0.0248
Contig1261,1351,4350,3052,1890,0.0049,0.005,0.0052,0.0249
Contig1261,1381,4380,3073,1920,0.0048,0.0049,0.0052,0.0248
Contig1261,1411,4410,3092,1948,0.0047,0.005,0.0052,0.0249
Contig1261,1441,4440,3112,1978,0.005,0.0053,0.0055,0.0237
Contig1261,1471,4470,3131,2006,0.0049,0.0052,0.0054,0.0236
Contig1261,1501,4500,3151,2036,0.0051,0.0053,0.0056,0.0231
Contig1261,1531,4530,3187,2037,0.0053,0.0054,0.0057,0.0226
Contig1261,1561,4560,3230,2036,0.0052,0.0055,0.0057,0.0225
Contig1261,1591,4590,3259,2046,0.0052,0.0055,0.0056,0.0225
Contig1261,1621,4620,3294,2055,0.0051,0.0055,0.0056,0.023
Contig1261,1651,4650,3337,2054,0.0051,0.0054,0.0056,0.023
Contig1261,1681,4680,3358,2054,0.0051,0.0053,0.0055,0.023
Contig1261,1711,4710,3374,2077,0.005,0.0053,0.0055,0.023
Contig1261,1741,4740,3390,2088,0.005,0.0052,0.0054,0.023
Contig1261,1771,4770,3416,2068,0.0049,0.0052,0.0053,0.022
Contig1261,1801,4800,3447,2049,0.0047,0.0052,0.0051,0.0178
Contig1261,1831,4830,3485,2045,0.0048,0.0053,0.0053,0.0173
Contig1261,1861,4860,3523,2045,0.0048,0.0053,0.0053,0.0173
Contig1261,1891,4890,3561,2040,0.0048,0.0053,0.0053,0.0174
Contig1261,1921,4920,3603,2038,0.0048,0.0052,0.0053,0.0172
Contig1261,1951,4950,3644,2038,0.0048,0.0053,0.0053,0.0172
Contig1261,1981,4980,3680,2040,0.0046,0.0053,0.0052,0.0164
Contig1261,2011,5010,3708,2019,0.0045,0.0052,0.005,0.0159
Contig1261,2041,5040,3735,2002,0.0045,0.0052,0.005,0.016
Contig1261,2071,5070,3758,1974,0.0046,0.0052,0.0051,0.0161
Contig1261,2101,5100,3770,1961,0.0046,0.0052,0.0051,0.0161
Contig1261,2131,5130,3794,1932,0.0047,0.0053,0.0052,0.0161
Contig1261,2161,5160,3809,1915,0.0047,0.0054,0.0052,0.0161
Contig1261,2191,5190,3809,1915,0.0047,0.0054,0.0052,0.0161
Contig1261,2221,5220,3809,1915,0.0047,0.0054,0.0052,0.0161
Contig1261,2251,5250,3809,1915,0.0047,0.0054,0.0052,0.0161
Contig1261,2281,5280,3809,1915,0.0047,0.0054,0.0052,0.0161
Contig1261,2311,5310,3809,1915,0.0047,0.0054,0.0052,0.0161
Contig1261,2341,5340,3809,1915,0.0047,0.0054,0.0052,0.0161
Contig1261,2371,5370,3809,1915,0.0047,0.0054,0.0052,0.0161
Contig1261,2401,5400,3809,1915,0.0047,0.0054,0.0052,0.0161
Contig1261,2431,5430,3821,1929,0.0047,0.0053,0.0052,0.0161
Contig1261,2461,5460,3844,1957,0.0046,0.0052,0.0051,0.0161
Contig1261,2491,5490,3863,1980,0.0045,0.0052,0.0051,0.0161
Contig1261,2521,5520,3880,2001,0.0045,0.0051,0.005,0.0161
Contig1261,2551,5550,3893,2017,0.0045,0.0051,0.005,0.0161
Contig1261,2581,5580,3918,2047,0.0045,0.0051,0.005,0.016
Contig1261,2611,5610,3940,2075,0.0044,0.005,0.0049,0.016
Contig1261,2641,5640,3958,2097,0.0044,0.005,0.0049,0.0159
Contig1261,2671,5670,3984,2113,0.0044,0.005,0.0049,0.0159
Contig1261,2701,5700,4024,2110,0.0044,0.0051,0.0049,0.0157
Contig1261,2731,5730,4067,2110,0.0043,0.0051,0.0049,0.014
Contig1261,2761,5760,4109,2111,0.0047,0.0053,0.0052,0.0151
Contig1261,2791,5790,4151,2110,0.0045,0.0052,0.005,0.0136
Contig1261,2821,5820,4191,2111,0.0045,0.0052,0.005,0.0136
Contig1261,2851,5850,4232,2109,0.0044,0.005,0.0049,0.0144
Contig1261,2881,5880,4262,2092,0.0044,0.005,0.0049,0.0144
Contig1261,2911,5910,4283,2073,0.0044,0.005,0.0049,0.0145
Contig1261,2941,5940,4304,2059,0.0044,0.005,0.0049,0.0145
Contig1261,2971,5970,4334,2078,0.0044,0.0051,0.005,0.0149
Contig1261,3001,6000,4374,2083,0.0045,0.005,0.005,0.0152
Contig1261,3031,6030,4394,2054,0.0044,0.005,0.0049,0.015
Contig1261,3061,6060,4411,2028,0.0045,0.005,0.005,0.015
Contig1261,3091,6090,4430,2001,0.0045,0.0051,0.005,0.015
Contig1261,3121,6120,4449,1972,0.0046,0.0052,0.0051,0.015
Contig1261,3151,6150,4469,1942,0.0044,0.0052,0.005,0.0141
Contig1261,3181,6180,4486,1918,0.0045,0.0052,0.005,0.0141
Contig1261,3211,6210,4502,1894,0.0045,0.0052,0.0051,0.0141
Contig1261,3241,6240,4520,1867,0.0046,0.0053,0.0051,0.0141
Contig1261,3271,6270,4544,1856,0.0046,0.0054,0.0052,0.0141
Contig1261,3301,6300,4575,1844,0.0046,0.0053,0.0052,0.0141
Contig1261,3331,6330,4608,1827,0.0046,0.0054,0.0052,0.0137
Contig1261,3361,6360,4652,1828,0.0043,0.0053,0.005,0.0118
Contig1261,3391,6390,4696,1822,0.0043,0.0053,0.005,0.0118
Contig1261,3421,6420,4743,1825,0.0043,0.0053,0.005,0.0118
Contig1261,3451,6450,4786,1833,0.0043,0.0053,0.0049,0.0118
Contig1261,3481,6480,4814,1862,0.0042,0.0052,0.0049,0.0118
Contig1261,3511,6510,4839,1890,0.0042,0.0051,0.0048,0.0118
Contig1261,3541,6540,4863,1917,0.0042,0.0051,0.0048,0.0116
Contig1261,3571,6570,4901,1929,0.0042,0.0051,0.0048,0.0117
Contig1261,3601,6600,4944,1925,0.0043,0.0051,0.0048,0.0117
Contig1261,3631,6630,4985,1918,0.0042,0.0047,0.0046,0.0125
Contig1261,3661,6660,5031,1919,0.0045,0.005,0.0049,0.0116
Contig1261,3691,6690,5078,1919,0.0046,0.0049,0.0049,0.012
Contig1261,3721,6720,5124,1919,0.0047,0.0051,0.0051,0.0121
Contig1261,3751,6750,5164,1920,0.0042,0.0046,0.0046,0.0135
Contig1261,3781,6780,5202,1931,0.0043,0.0043,0.0045,0.0178
Contig1261,3811,6810,5249,1931,0.0041,0.0041,0.0043,0.0189
Contig1261,3841,6840,5292,1927,0.0039,0.0038,0.004,0.0187
Contig1261,3871,6870,5329,1915,0.004,0.0038,0.0041,0.0185
Contig1261,3901,6900,5374,1912,0.004,0.0039,0.0041,0.0187
Contig1261,3931,6930,5417,1908,0.0044,0.0043,0.0045,0.0156
Contig1261,3961,6960,5458,1909,0.0044,0.0043,0.0045,0.0162
Contig1261,3991,6990,5495,1908,0.0043,0.0044,0.0045,0.0149
Contig1261,4021,7020,5540,1909,0.0043,0.0044,0.0045,0.015
Contig1261,4051,7050,5584,1909,0.0044,0.0044,0.0046,0.0148
Contig1261,4081,7080,5625,1903,0.0043,0.0044,0.0045,0.015
Contig1261,4111,7110,5657,1922,0.0045,0.0045,0.0047,0.0142
Contig1261,4141,7140,5695,1930,0.0044,0.0045,0.0046,0.0145
Contig1261,4171,7170,5734,1940,0.0045,0.0045,0.0046,0.0145
Contig1261,4201,7200,5779,1941,0.0047,0.0046,0.0048,0.0148
Contig1261,4231,7230,5823,1944,0.0049,0.005,0.0051,0.014
Contig1261,4261,7260,5864,1945,0.0049,0.0049,0.0051,0.0146
Contig1261,4291,7290,5906,1947,0.0046,0.0046,0.0048,0.0151
Contig1261,4321,7320,5932,1948,0.0047,0.0049,0.005,0.0147
Contig1261,4351,7350,5969,1954,0.0051,0.005,0.0052,0.0137
Contig1261,4381,7380,6015,1954,0.0051,0.0051,0.0053,0.0136
Contig1261,4411,7410,6059,1955,0.0051,0.005,0.0052,0.0134
Contig1261,4441,7440,6096,1942,0.0049,0.0047,0.005,0.0135
Contig1261,4471,7470,6135,1936,0.0048,0.0045,0.0048,0.0142
Contig1261,4501,7500,6172,1922,0.0045,0.0044,0.0046,0.0141
Contig1261,4531,7530,6197,1902,0.0044,0.0043,0.0045,0.0146
Contig1261,4561,7560,6223,1873,0.0041,0.004,0.0042,0.0158
Contig1261,4591,7590,6245,1848,0.0045,0.0044,0.0046,0.0145
Contig1261,4621,7620,6274,1822,0.0043,0.0041,0.0044,0.0149
Contig1261,4651,7650,6319,1819,0.0044,0.0043,0.0045,0.0148
Contig1261,4681,7680,6351,1831,0.0045,0.0043,0.0045,0.0144
Contig1261,4711,7710,6394,1836,0.0045,0.0042,0.0045,0.0152
Contig1261,4741,7740,6429,1847,0.0045,0.0042,0.0045,0.0148
Contig1261,4771,7770,6455,1867,0.0047,0.0043,0.0046,0.0148
Contig1261,4801,7800,6486,1886,0.0043,0.0039,0.0043,0.0167
Contig1261,4831,7830,6527,1891,0.0044,0.0039,0.0043,0.017
Contig1261,4861,7860,6571,1895,0.0042,0.0035,0.004,0.0195
Contig1261,4891,7890,6612,1902,0.0042,0.0036,0.0041,0.0196
Contig1261,4921,7920,6654,1901,0.0042,0.0036,0.0041,0.0195
Contig1261,4951,7950,6698,1901,0.0045,0.0039,0.0044,0.0178
Contig1261,4981,7980,6742,1905,0.0046,0.0039,0.0044,0.0175
Contig1261,5011,8010,6760,1915,0.0046,0.0039,0.0044,0.0174
Contig1261,5041,8040,6784,1934,0.0046,0.0038,0.0044,0.0172
Contig1261,5071,8070,6803,1962,0.0042,0.0034,0.004,0.0202
Contig1261,5101,8100,6821,1991,0.0045,0.0038,0.0044,0.0193
Contig1261,5131,8130,6834,2011,0.0045,0.0037,0.0043,0.0191
Contig1261,5161,8160,6851,2037,0.0044,0.0037,0.0043,0.019
Contig1261,5191,8190,6862,2054,0.0046,0.0039,0.0044,0.0178
Contig1261,5221,8220,6879,2081,0.0045,0.0038,0.0044,0.0182
Contig1261,5251,8250,6888,2094,0.0041,0.0034,0.0039,0.0201
Contig1261,5281,8280,6888,2094,0.0041,0.0034,0.0039,0.0201
Contig1261,5311,8310,6893,2102,0.0041,0.0034,0.0039,0.0201
Contig1261,5341,8340,6907,2123,0.0045,0.0038,0.0043,0.0183
Contig1261,5371,8370,6907,2123,0.0045,0.0038,0.0043,0.0182
Contig1261,5401,8400,6922,2145,0.0046,0.0038,0.0044,0.0176
Contig1261,5431,8430,6949,2156,0.0046,0.004,0.0045,0.0171
Contig1261,5461,8460,6988,2156,0.0051,0.0039,0.0048,0.0261
Contig1261,5491,8490,7023,2160,0.0055,0.0044,0.0052,0.0235
Contig1261,5521,8520,7049,2155,0.005,0.0039,0.0047,0.0262
Contig1261,5551,8550,7079,2167,0.005,0.0041,0.0049,0.0263
Contig1261,5581,8580,7118,2163,0.0054,0.0043,0.0052,0.0266
Contig1261,5611,8610,7158,2165,0.006,0.0048,0.0058,0.0262
Contig1261,5641,8640,7193,2172,0.0063,0.0051,0.0061,0.0247
Contig1261,5671,8670,7222,2163,0.0069,0.0056,0.0066,0.0228
Contig1261,5701,8700,7251,2150,0.0067,0.0054,0.0064,0.0241
Contig1261,5731,8730,7289,2144,0.0067,0.0055,0.0065,0.0241
Contig1261,5761,8760,7325,2136,0.0064,0.0053,0.0062,0.0233
Contig1261,5791,8790,7361,2129,0.0071,0.0061,0.0069,0.0204
Contig1261,5821,8820,7385,2103,0.0069,0.0059,0.0067,0.0216
Contig1261,5851,8850,7421,2097,0.0066,0.0056,0.0064,0.0221
Contig1261,5881,8880,7439,2097,0.0071,0.0063,0.007,0.0204
Contig1261,5911,8910,7447,2095,0.0074,0.0065,0.0073,0.0191
Contig1261,5941,8940,7469,2110,0.0077,0.0068,0.0076,0.0186
Contig1261,5971,8970,7496,2090,0.0078,0.0067,0.0076,0.0182
Contig1261,6001,9000,7529,2075,0.0077,0.0068,0.0076,0.018
Contig1261,6031,9030,7534,2080,0.0074,0.0066,0.0073,0.0182
Contig1261,6061,9060,7547,2099,0.0076,0.0066,0.0074,0.018
Contig1261,6091,9090,7559,2115,0.0078,0.0068,0.0076,0.0172
Contig1261,6121,9120,7568,2128,0.0079,0.007,0.0078,0.0163
Contig1261,6151,9150,7584,2150,0.0082,0.0074,0.0081,0.0163
Contig1261,6181,9180,7600,2172,0.0079,0.0071,0.0078,0.0168
Contig1261,6211,9210,7616,2194,0.0077,0.0069,0.0076,0.0167
Contig1261,6241,9240,7637,2223,0.008,0.0071,0.0079,0.0168
Contig1261,6271,9270,7651,2224,0.0077,0.0069,0.0077,0.0182
Contig1261,6301,9300,7678,2234,0.0077,0.0069,0.0076,0.0179
Contig1261,6331,9330,7704,2247,0.0077,0.0069,0.0077,0.0177
Contig1261,6361,9360,7741,2248,0.0079,0.0069,0.0077,0.0176
Contig1261,6391,9390,7777,2254,0.0083,0.0074,0.0082,0.0165
Contig1261,6421,9420,7814,2250,0.008,0.0072,0.008,0.0173
Contig1261,6451,9450,7838,2227,0.0082,0.0073,0.0081,0.0171
Contig1261,6481,9480,7876,2224,0.0082,0.0073,0.0081,0.017
Contig1261,6511,9510,7914,2224,0.0084,0.0074,0.0083,0.0171
Contig1261,6541,9540,7949,2222,0.0075,0.0065,0.0073,0.0195
Contig1261,6571,9570,7975,2201,0.0074,0.0065,0.0073,0.0195
Contig1261,6601,9600,7991,2175,0.0075,0.0066,0.0074,0.0195
Contig1261,6631,9630,8006,2152,0.0083,0.0075,0.0082,0.0173
Contig1261,6661,9660,8025,2122,0.0082,0.0074,0.0082,0.0173
Contig1261,6691,9690,8058,2109,0.0084,0.0076,0.0083,0.0166
Contig1261,6721,9720,8098,2108,0.008,0.0072,0.008,0.0174
Contig1261,6751,9750,8137,2111,0.008,0.0072,0.008,0.0174
Contig1261,6781,9780,8178,2108,0.0078,0.0072,0.0078,0.016
Contig1261,6811,9810,8219,2106,0.0078,0.0073,0.0078,0.0164
Contig1261,6841,9840,8259,2110,0.0084,0.0077,0.0084,0.0149
Contig1261,6871,9870,8276,2099,0.0084,0.0078,0.0084,0.0145
Contig1261,6901,9900,8297,2075,0.0075,0.0071,0.0076,0.0164
Contig1261,6931,9930,8328,2069,0.0077,0.0069,0.0076,0.0161
Contig1261,6961,9960,8370,2072,0.0076,0.007,0.0076,0.0164
Contig1261,6991,9990,8389,2054,0.008,0.0073,0.0079,0.0157
Contig1261,7021,10020,8421,2040,0.007,0.0066,0.0072,0.0179
Contig1261,7051,10050,8446,2019,0.0077,0.007,0.0077,0.0165
Contig1261,7081,10080,8462,1996,0.0078,0.007,0.0077,0.0162
Contig1261,7111,10110,8482,1966,0.0079,0.0071,0.0078,0.0166
Contig1261,7141,10140,8503,1937,0.0083,0.0075,0.0082,0.0159
Contig1261,7171,10170,8524,1907,0.0081,0.0074,0.0081,0.0162
Contig1261,7201,10200,8545,1877,0.0081,0.0075,0.0081,0.016
Contig1261,7231,10230,8567,1847,0.0081,0.0071,0.0079,0.0163
Contig1261,7261,10260,8587,1820,0.0082,0.0072,0.008,0.016
Contig1261,7291,10290,8607,1792,0.0084,0.0074,0.0083,0.0166
Contig1261,7321,10320,8620,1774,0.0084,0.0074,0.0082,0.0162
Contig1261,7351,10350,8640,1747,0.0082,0.0071,0.008,0.0172
Contig1261,7381,10380,8662,1717,0.0081,0.0072,0.008,0.0175
Contig1261,7411,10410,8684,1688,0.0076,0.0065,0.0074,0.0192
Contig1261,7441,10440,8697,1671,0.0087,0.0076,0.0085,0.0162
Contig1261,7471,10470,8714,1649,0.0077,0.0067,0.0075,0.0192
Contig1261,7501,10500,8726,1633,0.0088,0.0077,0.0086,0.0169
Contig1261,7531,10530,8729,1628,0.0089,0.0078,0.0087,0.0166
Contig1261,7561,10560,8750,1647,0.0088,0.0077,0.0086,0.0165
Contig1261,7591,10590,8776,1671,0.0086,0.0076,0.0085,0.0167
Contig1261,7621,10620,8808,1695,0.0085,0.0075,0.0083,0.0166
Contig1261,7651,10650,8857,1698,0.0084,0.0073,0.0082,0.0173
Contig1261,7681,10680,8905,1700,0.0085,0.0075,0.0083,0.0166
Contig1261,7711,10710,8956,1700,0.0082,0.0073,0.0081,0.0172
Contig1261,7741,10740,9007,1702,0.0085,0.0076,0.0084,0.0164
Contig1261,7771,10770,9055,1702,0.008,0.0072,0.0079,0.0176
Contig1261,7801,10800,9095,1689,0.0083,0.0076,0.0083,0.0165
Contig1261,7831,10830,9117,1660,0.0075,0.0069,0.0075,0.0177
Contig1261,7861,10860,9170,1658,0.0087,0.0085,0.0089,0.0154
Contig1261,7891,10890,9223,1657,0.0076,0.0074,0.0078,0.0171
Contig1261,7921,10920,9271,1658,0.009,0.0087,0.0092,0.0149
Contig1261,7951,10950,9317,1653,0.0091,0.0086,0.0092,0.0158
Contig1261,7981,10980,9352,1633,0.0092,0.0087,0.0093,0.016
Contig1261,8011,11010,9382,1632,0.0094,0.0088,0.0095,0.0153
Contig1261,8041,11040,9429,1630,0.0098,0.0092,0.0099,0.0154
Contig1261,8071,11070,9477,1626,0.01,0.0096,0.0101,0.0141
Contig1261,8101,11100,9529,1624,0.0096,0.0092,0.0097,0.0143
Contig1261,8131,11130,9571,1630,0.0099,0.0095,0.01,0.0135
Contig1261,8161,11160,9623,1634,0.0097,0.0093,0.0099,0.0138
Contig1261,8191,11190,9665,1646,0.0095,0.0092,0.0097,0.015
Contig1261,8221,11220,9715,1647,0.0096,0.0093,0.0098,0.015
Contig1261,8251,11250,9748,1657,0.0095,0.0094,0.0098,0.0153
Contig1261,8281,11280,9761,1671,0.0098,0.0096,0.0101,0.0146
Contig1261,8311,11310,9794,1692,0.0094,0.0091,0.0096,0.0155
Contig1261,8341,11340,9839,1701,0.0087,0.0086,0.009,0.0162
Contig1261,8371,11370,9865,1731,0.0086,0.0084,0.0089,0.0163
Contig1261,8401,11400,9910,1738,0.0088,0.0088,0.0092,0.016
Contig1261,8431,11430,9951,1736,0.0091,0.0091,0.0095,0.0158
Contig1261,8461,11460,10001,1738,0.0079,0.0083,0.0084,0.0114
Contig1261,8491,11490,10044,1734,0.0084,0.0087,0.0088,0.0109
Contig1261,8521,11520,10060,1720,0.0085,0.0088,0.0089,0.0109
Contig1261,8551,11550,10093,1701,0.0085,0.0086,0.0088,0.0107
Contig1261,8581,11580,10143,1705,0.0084,0.0087,0.0087,0.0089
Contig1261,8611,11610,10192,1701,0.0076,0.0081,0.008,0.0079
Contig1261,8641,11640,10242,1699,0.0066,0.007,0.007,0.009
Contig1261,8671,11670,10259,1686,0.0067,0.0071,0.0071,0.0095
Contig1261,8701,11700,10272,1672,0.0067,0.0072,0.0071,0.0094
Contig1261,8731,11730,10298,1652,0.0069,0.0073,0.0073,0.0082
Contig1261,8761,11760,10335,1648,0.0068,0.0072,0.0072,0.0084
Contig1261,8791,11790,10380,1654,0.0062,0.0066,0.0066,0.0093
Contig1261,8821,11820,10403,1675,0.0058,0.0062,0.0061,0.0104
Contig1261,8851,11850,10447,1680,0.0062,0.0066,0.0065,0.0096
Contig1261,8881,11880,10479,1691,0.0059,0.0063,0.0062,0.0099
Contig1261,8911,11910,10507,1716,0.0056,0.006,0.0059,0.011
Contig1261,8941,11940,10553,1723,0.0057,0.0061,0.0061,0.0103
Contig1261,8971,11970,10580,1738,0.0055,0.006,0.0059,0.0106
Contig1261,9001,12000,10618,1753,0.0054,0.0058,0.0058,0.011
Contig1261,9031,12030,10646,1776,0.0056,0.006,0.0059,0.0106
Contig1261,9061,12060,10685,1785,0.0054,0.0058,0.0058,0.011
Contig1261,9091,12090,10717,1791,0.0061,0.0064,0.0064,0.0094
Contig1261,9121,12120,10751,1808,0.0058,0.0061,0.0061,0.0099
Contig1261,9151,12150,10791,1813,0.0054,0.0056,0.0056,0.0101
Contig1261,9181,12180,10832,1819,0.0054,0.0057,0.0057,0.01
Contig1261,9211,12210,10873,1825,0.0053,0.0057,0.0056,0.0101
Contig1261,9241,12240,10921,1826,0.005,0.0054,0.0054,0.0126
Contig1261,9271,12270,10953,1845,0.0053,0.0056,0.0056,0.0115
Contig1261,9301,12300,10996,1851,0.0053,0.0056,0.0056,0.0116
Contig1261,9331,12330,11040,1854,0.0051,0.0054,0.0055,0.0124
Contig1261,9361,12360,11083,1850,0.0052,0.0055,0.0055,0.0119
Contig1261,9391,12390,11111,1820,0.0051,0.0054,0.0054,0.0121
Contig1261,9421,12420,11136,1794,0.0051,0.0054,0.0054,0.0122
Contig1261,9451,12450,11153,1802,0.0051,0.0053,0.0054,0.0123
Contig1261,9481,12480,11199,1803,0.0052,0.0054,0.0055,0.0121
Contig1261,9511,12510,11245,1803,0.0054,0.0056,0.0057,0.0138
Contig1261,9541,12540,11289,1806,0.0054,0.0057,0.0058,0.0132
Contig1261,9571,12570,11319,1827,0.0054,0.0057,0.0057,0.013
Contig1261,9601,12600,11339,1857,0.0053,0.0056,0.0056,0.0131
Contig1261,9631,12630,11359,1887,0.0053,0.0058,0.0058,0.0146
Contig1261,9661,12660,11377,1913,0.0052,0.0058,0.0057,0.0151
Contig1261,9691,12690,11412,1926,0.0053,0.0057,0.0057,0.0147
Contig1261,9721,12720,11454,1923,0.0053,0.0057,0.0057,0.015
Contig1261,9751,12750,11498,1921,0.0052,0.0057,0.0057,0.015
Contig1261,9781,12780,11538,1918,0.0052,0.0057,0.0056,0.0148
Contig1261,9811,12810,11581,1917,0.0052,0.0057,0.0057,0.0144
Contig1261,9841,12840,11624,1910,0.0048,0.0054,0.0054,0.0155
Contig1261,9871,12870,11642,1921,0.0048,0.0054,0.0053,0.0155
Contig1261,9901,12900,11648,1923,0.0049,0.0055,0.0054,0.0153
Contig1261,9931,12930,11683,1932,0.0049,0.0055,0.0054,0.0151
Contig1261,9961,12960,11727,1928,0.005,0.0056,0.0055,0.0149
Contig1261,9991,12990,11749,1951,0.0048,0.0054,0.0053,0.0152
Contig1261,10021,13020,11781,1965,0.0053,0.0058,0.0058,0.0166
Contig1261,10051,13050,11806,1988,0.0052,0.0057,0.0057,0.017
Contig1261,10081,13080,11825,2018,0.0051,0.0056,0.0056,0.0169
Contig1261,10111,13110,11844,2048,0.0052,0.0056,0.0056,0.0166
Contig1261,10141,13140,11862,2078,0.0051,0.0057,0.0056,0.0167
Contig1261,10171,13170,11880,2107,0.0052,0.0056,0.0056,0.0165
Contig1261,10201,13200,11898,2137,0.005,0.0057,0.0056,0.0182
Contig1261,10231,13230,11917,2167,0.0052,0.006,0.0059,0.0185
Contig1261,10261,13260,11935,2197,0.0054,0.0063,0.0062,0.0202
Contig1261,10291,13290,11943,2210,0.0052,0.0062,0.006,0.0205
Contig1261,10321,13320,11958,2236,0.0053,0.0062,0.0061,0.0202
Contig1261,10351,13350,11977,2266,0.0052,0.0062,0.006,0.0201
Contig1261,10381,13380,11995,2296,0.0051,0.0061,0.0059,0.0203
Contig1261,10411,13410,12013,2326,0.0051,0.006,0.0059,0.02
Contig1261,10441,13440,12031,2356,0.0051,0.0061,0.0059,0.0197
Contig1261,10471,13470,12049,2386,0.0051,0.0061,0.0059,0.0196
Contig1261,10501,13500,12067,2416,0.005,0.0059,0.0057,0.0197
Contig1261,10531,13530,12078,2435,0.0052,0.0062,0.0061,0.0217
Contig1261,10561,13560,12102,2436,0.0053,0.0063,0.0061,0.0214
Contig1261,10591,13590,12134,2441,0.0054,0.0064,0.0063,0.0212
Contig1261,10621,13620,12165,2437,0.0053,0.0063,0.0062,0.0213
Contig1261,10651,13650,12193,2423,0.0054,0.0064,0.0062,0.0213
Contig1261,10681,13680,12225,2419,0.0056,0.0066,0.0064,0.0205
Contig1261,10711,13710,12252,2404,0.0056,0.0066,0.0064,0.0205
Contig1261,10741,13740,12272,2375,0.0057,0.0067,0.0066,0.0203
Contig1261,10771,13770,12291,2350,0.0058,0.0068,0.0066,0.0204
Contig1261,10801,13800,12302,2333,0.0056,0.0066,0.0064,0.0213
Contig1261,10831,13830,12314,2353,0.0055,0.0065,0.0064,0.0213
Contig1261,10861,13860,12351,2355,0.0052,0.006,0.0059,0.0222
Contig1261,10891,13890,12389,2356,0.0054,0.0062,0.0062,0.0245
Contig1261,10921,13920,12425,2359,0.005,0.0059,0.0059,0.0251
Contig1261,10951,13950,12459,2366,0.0048,0.0058,0.0056,0.0252
Contig1261,10981,13980,12484,2386,0.0048,0.0058,0.0057,0.0249
Contig1261,11011,14010,12513,2400,0.0047,0.0056,0.0055,0.0258
Contig1261,11041,14040,12545,2402,0.0047,0.0055,0.0054,0.0261
