scaffold,LG,av,inv_status
Contig101537,16,12.7565,collinear
Contig101587,16,19.5285,collinear
Contig101600,11,52.908,LGC11.1
Contig101620,8,31.7975,collinear
Contig101657,2,48.8225,collinear
Contig101702,12,40.8545,NA
Contig101734,3,27.3695,collinear
Contig101754,1,26.18886297,collinear
Contig101784,10,27.509,LGC10.2
Contig1018,14,1.551,LGC14.1/2
Contig101807,6,46.5235,collinear
Contig101868,9,28.0725,LGC9.1
Contig101910,5,42.4935,collinear
Contig101957,9,46.2685,collinear
Contig101962,1,80.9515,buffer
Contig101982,6,37.644,collinear
Contig102001,1,0.9655,LGC1.1
Contig102033,15,31.2575,collinear
Contig102036,6,17.4365,LGC6.1/2
Contig102071,9,48.382,collinear
Contig10208,14,10.2385,LGC14.1/2
Contig102084,6,53.101,collinear
Contig10209,6,55.2685,collinear
Contig102098,2,1.486,LGC2.1
Contig1021,2,85.7215,collinear
Contig102107,8,45.608,collinear
Contig102135,2,76.9735,collinear
Contig102137,3,27.3695,collinear
Contig10215,4,56.518,collinear
Contig102160,3,31.864,collinear
Contig102162,14,10.2385,LGC14.1/2
Contig10217,12,33.904,NA
Contig102189,5,7.433,collinear
Contig102191,4,1.5085,LGC4.1
Contig1022,6,7.259,LGC6.1/2
Contig102209,14,11.4125,buffer
Contig102216,16,23.089,collinear
Contig102218,3,17.8165,collinear
Contig10222,9,3.8425,collinear
Contig102230,4,1.491888889,buffer
Contig102238,8,29.5045,collinear
Contig10224,13,0,collinear
Contig10227,7,17.4975,collinear
Contig102319,5,50.3275,collinear
Contig102354,4,53.3345,collinear
Contig102362,13,50.6885,collinear
Contig102376,2,48.8225,collinear
Contig102407,9,49.854,collinear
Contig10241,2,0.6405,buffer
Contig102475,9,18.6395,buffer
Contig10248,8,31.7975,collinear
Contig10250,1,51.1485,collinear
Contig102527,2,56.205,collinear
Contig102545,5,3.446,collinear
Contig102554,1,70.6185,collinear
Contig102562,10,32.786,LGC10.2
Contig102584,10,1.5235,LGC10.1
Contig102624,2,66.6275,collinear
Contig102655,11,52.908,LGC11.1
Contig102657,12,52.961,NA
Contig102686,3,50.0635,collinear
Contig102690,9,18.6395,buffer
Contig10271,6,36.7265,collinear
Contig102716,9,52.999,collinear
Contig102775,16,39.05,collinear
Contig102790,1,66.5845,collinear
Contig102791,1,66.5845,collinear
Contig10280,6,40.0395,collinear
Contig102809,13,32.067,collinear
Contig102849,5,7.433,collinear
Contig102882,13,38.829,collinear
Contig102898,11,35.7495,collinear
Contig102952,6,55.2685,collinear
Contig102957,9,19.31883635,buffer
Contig102983,3,27.3695,collinear
Contig1030,1,25.0135,collinear
Contig10309,6,55.2685,collinear
Contig103113,10,38.7485,LGC10.2
Contig103117,1,49.546,collinear
Contig103124,3,9.578,collinear
Contig103161,11,52.908,LGC11.1
Contig103163,11,52.99683333,buffer
Contig103217,2,63.457,collinear
Contig103234,4,55.9695,collinear
Contig103255,6,44.2655,collinear
Contig103316,4,53.623,collinear
Contig1034,3,62.838,collinear
Contig103418,4,1.458666667,buffer
Contig103420,12,42.9345,NA
Contig103424,9,52.999,collinear
Contig103432,14,10.2385,LGC14.1/2
Contig103458,11,32.8295,collinear
Contig1035,5,0,collinear
Contig103535,10,1.35925,LGC10.1
Contig103613,13,45.9435,collinear
Contig103629,16,13.992,collinear
Contig103630,6,44.2655,collinear
Contig103637,12,40.5365,NA
Contig103643,14,26.3765,LGC14.3
Contig10365,3,0.0095,collinear
Contig103658,14,10.2385,LGC14.1/2
Contig103677,14,10.2385,LGC14.1/2
Contig103679,1,27.20392121,collinear
Contig103681,11,28.01,collinear
Contig103693,6,53.101,collinear
Contig103719,13,43.676,collinear
Contig103727,8,14.345,collinear
Contig103729,10,3.12,buffer
Contig103755,13,24.974,collinear
Contig103769,4,7.6025,collinear
Contig10379,17,14.2365,collinear
Contig103820,2,66.6275,collinear
Contig103890,4,14.1135,collinear
Contig103894,3,61.46133333,collinear
Contig103895,2,41.512,collinear
Contig103905,15,41.22252047,collinear
Contig103938,1,80.9515,buffer
Contig103944,3,27.3695,collinear
Contig103946,6,31.0045,collinear
Contig10396,4,7.6025,collinear
Contig103974,2,58.6035,collinear
Contig104,2,76.9735,collinear
Contig1040,15,35.8415,collinear
Contig104000,10,15.4495,LGC10.2
Contig10402,16,12.7565,collinear
Contig104026,3,12.673,collinear
Contig104059,5,29.3765,collinear
Contig10414,12,1.276,NA
Contig10416,1,0.9655,LGC1.1
Contig104194,11,52.908,LGC11.1
Contig104225,2,58.6035,collinear
Contig104335,5,26.52,collinear
Contig104367,10,40.9955,LGC10.2
Contig10439,1,0.9655,LGC1.1
Contig104390,6,41.54083333,collinear
Contig104417,2,41.512,collinear
Contig104444,11,52.908,LGC11.1
Contig104454,3,33.145,collinear
Contig104492,1,0.9655,LGC1.1
Contig104500,10,38.7485,LGC10.2
Contig104513,1,70.6185,collinear
Contig10454,11,52.908,LGC11.1
Contig104543,3,29.1695,collinear
Contig104593,2,41.512,collinear
Contig104685,3,27.969,collinear
Contig104688,9,30.619,LGC9.1
Contig10469,8,6.488,collinear
Contig104693,6,28.70922351,buffer
Contig104733,9,17.0985,collinear
Contig104746,3,38.3115,collinear
Contig104767,10,17.901,LGC10.2
Contig104791,1,80.9515,buffer
Contig1048,1,48.625,collinear
Contig104800,2,59.186,collinear
Contig104803,16,56.1665,collinear
Contig104808,1,41.2815,collinear
Contig104815,10,45.5255,collinear
Contig10484,1,31.3955,collinear
Contig104869,4,56.518,collinear
Contig104950,11,35.7495,collinear
Contig104960,6,38.913,collinear
Contig104967,5,21.9255,collinear
Contig104989,1,42.9605,collinear
Contig105,8,46.2085,collinear
Contig105014,14,16.4135,buffer
Contig105056,7,26.2975,collinear
Contig105094,4,54.7785,collinear
Contig105095,15,28.9395,collinear
Contig1051,14,10.2385,LGC14.1/2
Contig10510,1,49.471,collinear
Contig105108,15,28.077,collinear
Contig105114,10,11.108,LGC10.2
Contig105140,1,0.9655,LGC1.1
Contig105163,2,42.355,collinear
Contig105195,3,48.07,collinear
Contig1052,8,50.6905,collinear
Contig105200,8,31.3655,collinear
Contig105228,17,55.7255,LGC17.1
Contig105232,9,28.0725,LGC9.1
Contig10530,5,19.5575,collinear
Contig105303,6,37.644,collinear
Contig105371,7,17.4975,collinear
Contig105430,9,2.4175,collinear
Contig105487,1,0.9655,LGC1.1
Contig105493,7,17.4975,collinear
Contig10550,4,54.7785,collinear
Contig105513,10,41.57451042,buffer
Contig105622,12,43.2235,NA
Contig105657,15,42.3545,collinear
Contig105658,15,42.3545,collinear
Contig10567,4,1.458666667,buffer
Contig105674,7,5.5455,collinear
Contig105739,2,17.7745,collinear
Contig105795,10,3.12,buffer
Contig105820,6,47.3685,collinear
Contig105835,12,44.957,NA
Contig10585,6,42.0095,collinear
Contig105856,17,24.3355,collinear
Contig10587,1,35.667,collinear
Contig105873,14,10.2385,LGC14.1/2
Contig10588,1,0.9655,LGC1.1
Contig105883,5,21.334,collinear
Contig105885,2,69.558,collinear
Contig105889,3,24.399,collinear
Contig105901,12,41.491,NA
Contig10593,10,27.791,LGC10.2
Contig106054,10,23.6735,LGC10.2
Contig106059,7,29.165,collinear
Contig106086,4,0.2675,buffer
Contig10610,3,46.931,collinear
Contig10611,6,0,buffer
Contig10614,10,11.108,LGC10.2
Contig106141,7,11.101,collinear
Contig10616,17,42.9065,collinear
Contig106185,13,4.5985,collinear
Contig106238,2,45.449,collinear
Contig106277,13,43.676,collinear
Contig10633,4,1.5085,LGC4.1
Contig106350,1,42.9605,collinear
Contig106381,2,48.8225,collinear
Contig1064,10,0.29,buffer
Contig106405,3,41.661,collinear
Contig106414,1,0.9655,LGC1.1
Contig106438,15,22.49,collinear
Contig106451,11,55.6195,collinear
Contig106470,7,12.5715,collinear
Contig106490,7,5.5455,collinear
Contig106512,13,26.4255,collinear
Contig106539,5,26.239,collinear
Contig10655,16,3.835,collinear
Contig106582,9,28.0725,LGC9.1
Contig106641,2,60.093,collinear
Contig106700,3,50.0635,collinear
Contig106711,15,13.422,collinear
Contig10672,7,42.082,buffer
Contig106720,8,6.488,collinear
Contig106772,15,31.831,collinear
Contig106777,2,76.9735,collinear
Contig106787,14,17.3545,buffer
Contig106867,17,30.59333488,collinear
Contig1069,8,51.611,collinear
Contig106902,14,17.3545,buffer
Contig106914,8,51.536,collinear
Contig106998,3,18.415,collinear
Contig107,4,25.314,collinear
Contig107048,3,31.864,collinear
Contig107076,5,10.05762989,collinear
Contig107085,1,11.3975,collinear
Contig107089,8,48.757,collinear
Contig107158,17,45.8605,collinear
Contig10718,9,46.2685,collinear
Contig107182,2,42.355,collinear
Contig107184,1,13.7155,collinear
Contig107214,14,11.4125,buffer
Contig107217,5,45.739,collinear
Contig107222,9,6.3785,collinear
Contig107246,7,15.2505,collinear
Contig107262,13,29.5305,collinear
Contig10728,10,13.6370972,LGC10.2
Contig107297,14,17.3545,buffer
Contig1073,17,20.987,collinear
Contig107303,16,12.7565,collinear
Contig107354,10,0.29,buffer
Contig10736,11,52.71183333,buffer
Contig107375,13,34.0375,collinear
Contig10740,3,0.0095,collinear
Contig107457,1,49.546,collinear
Contig107465,3,3.3005,collinear
Contig10747,10,2.5105,LGC10.1
Contig107495,14,10.2385,LGC14.1/2
Contig107593,1,12.85,collinear
Contig10760,2,54.1735,collinear
Contig107601,15,13.7265,collinear
Contig107639,2,45.73,collinear
Contig107654,8,14.0075,collinear
Contig107659,5,42.821,collinear
Contig107685,1,13.7155,collinear
Contig107706,2,69.558,collinear
Contig107730,8,1.8435,collinear
Contig107733,8,50.9725,collinear
Contig107735,9,32.454,LGC9.1
Contig107749,3,66.602,collinear
Contig10777,6,15.0625,LGC6.1/2
Contig107779,9,41.8195,buffer
Contig107784,16,52.7375,collinear
Contig1078,1,35.667,collinear
Contig107816,12,41.00363629,NA
Contig107839,1,0.9655,LGC1.1
Contig107841,11,24.462,collinear
Contig107843,16,34.149,collinear
Contig107847,2,0.292714286,buffer
Contig107853,11,24.462,collinear
Contig107866,3,15.137,collinear
Contig10787,3,27.3695,collinear
Contig107891,8,39.691,collinear
Contig1079,12,46.1125,NA
Contig107911,17,31.4462037,collinear
Contig10797,6,38.596,collinear
Contig108000,4,41.514,collinear
Contig108002,15,27.153,collinear
Contig108034,9,49.854,collinear
Contig108036,2,54.1735,collinear
Contig10804,5,39.272,collinear
Contig108072,12,46.1125,NA
Contig10808,8,22.8935,collinear
Contig108116,6,38.913,collinear
Contig108132,6,17.4365,LGC6.1/2
Contig108147,4,1.5085,LGC4.1
Contig108165,3,3.3005,collinear
Contig108177,5,7.433,collinear
Contig108207,13,13.6105,collinear
Contig108223,2,49.104,collinear
Contig108329,11,14.7905,collinear
Contig108367,10,27.509,LGC10.2
Contig108370,5,1.741,collinear
Contig1084,12,26.2655,NA
Contig108405,16,13.992,collinear
Contig108427,11,57.208,collinear
Contig108430,2,41.512,collinear
Contig10845,1,0.9655,LGC1.1
Contig10849,6,31.0045,collinear
Contig108496,12,0,NA
Contig10851,12,29.627,NA
Contig108515,16,44.2675,collinear
Contig108528,1,75.534,buffer
Contig108560,12,34.1835,NA
Contig108569,7,17.4975,collinear
Contig10858,1,75.534,buffer
Contig10860,16,44.2675,collinear
Contig108613,11,14.3545,collinear
Contig108621,5,21.334,collinear
Contig108623,5,21.644,collinear
Contig10863,5,3.446,collinear
Contig108645,3,13.2885,collinear
Contig108653,9,28.0725,LGC9.1
Contig108733,7,19.769,collinear
Contig10874,11,53.1745,buffer
Contig10878,2,45.73,collinear
Contig108784,6,8.4375,LGC6.1/2
Contig108831,7,4.692,collinear
Contig108879,4,55.9695,collinear
Contig1089,5,29.3765,collinear
Contig108916,2,54.1735,collinear
Contig108922,4,1.5085,LGC4.1
Contig108933,6,46.5235,collinear
Contig108963,1,37.6385,collinear
Contig108977,4,12.657,collinear
Contig108996,10,3.12,buffer
Contig109022,5,0,collinear
Contig10905,6,29.3,buffer
Contig109063,11,57.208,collinear
Contig109067,13,38.829,collinear
Contig109104,1,11.3975,collinear
Contig10915,16,24.4325,collinear
Contig10917,1,37.357,collinear
Contig109183,9,52.999,collinear
Contig109186,1,0.9655,LGC1.1
Contig109216,17,42.3425,collinear
Contig109244,12,40.5365,NA
Contig10930,14,11.1155,LGC14.1/2
Contig109330,8,20.376,collinear
Contig109336,12,53.8045,NA
Contig109341,12,53.8045,NA
Contig109349,3,23.97973711,collinear
Contig109442,6,41.447,collinear
Contig10948,1,46.538,collinear
Contig109564,1,20.9185,collinear
Contig109606,13,26.1445,collinear
Contig109618,9,37.3825,LGC9.1
Contig109692,2,19.766,collinear
Contig109774,10,2.67475,LGC10.1
Contig1098,13,26.4255,collinear
Contig109823,8,29.79,collinear
Contig109857,14,11.4125,buffer
Contig109882,12,52.961,NA
Contig10993,1,31.0895,collinear
Contig109953,7,4.692,collinear
Contig109957,14,11.709,buffer
Contig109979,9,6.3785,collinear
Contig1100,8,37.705,collinear
Contig110012,2,15.1345,buffer
Contig110041,2,73.4425,collinear
Contig110058,14,8.524,LGC14.1/2
Contig11008,10,26.8905,LGC10.2
Contig110093,1,70.6185,collinear
Contig110126,17,42.9065,collinear
Contig110129,13,32.067,collinear
Contig110195,12,8.307,NA
Contig110209,5,21.9255,collinear
Contig110213,17,31.94587616,collinear
Contig110259,11,53.1745,buffer
Contig110301,5,45.739,collinear
Contig110302,1,41.2815,collinear
Contig110330,13,34.0375,collinear
Contig110337,11,52.908,LGC11.1
Contig110349,11,8.612,collinear
Contig110391,7,25.169,collinear
Contig1104,7,37.7405,buffer
Contig110449,5,29.946,collinear
Contig11049,2,17.7745,collinear
Contig110520,15,28.9395,collinear
Contig11054,4,1.5085,LGC4.1
Contig11055,3,25.89,collinear
Contig110558,12,25.3275,NA
Contig110647,2,76.9735,collinear
Contig110659,2,42.355,collinear
Contig110701,1,15.465,collinear
Contig110724,9,19.31883635,buffer
Contig110734,15,13.7265,collinear
Contig110735,5,7.433,collinear
Contig110762,8,20.376,collinear
Contig110784,10,3.12,buffer
Contig110797,4,26.7265,collinear
Contig110798,1,0.9655,LGC1.1
Contig1108,3,54.9365,collinear
Contig110832,11,52.908,LGC11.1
Contig110833,2,54.1735,collinear
Contig110834,13,0,collinear
Contig110878,8,31.7975,collinear
Contig110892,2,60.093,collinear
Contig110929,1,27.711,collinear
Contig111001,3,21.647,collinear
Contig11101,16,12.7565,collinear
Contig111016,6,33.21,collinear
Contig111018,1,0.9655,LGC1.1
Contig11102,6,44.2655,collinear
Contig111031,12,43.512,NA
Contig111094,5,21.9255,collinear
Contig1111,15,31.2575,collinear
Contig11114,9,19.266,buffer
Contig11117,13,6.326,collinear
Contig111170,4,1.5085,LGC4.1
Contig111208,9,2.4175,collinear
Contig111241,3,30.3035,collinear
Contig111271,8,14.345,collinear
Contig111287,16,12.7565,collinear
Contig11130,2,87.1805,collinear
Contig111346,4,32.744,collinear
Contig11135,9,52.999,collinear
Contig111355,1,52.947,collinear
Contig1114,3,25.89,collinear
Contig111404,2,55.298,collinear
Contig111424,6,40.884,collinear
Contig111447,1,0.9655,LGC1.1
Contig111483,12,8.307,NA
Contig111493,10,0,buffer
Contig111504,5,45.739,collinear
Contig111528,13,8.9415,collinear
Contig11154,1,42.9605,collinear
Contig111544,6,31.0045,collinear
Contig111559,3,27.3695,collinear
Contig11158,6,50.1875,collinear
Contig111604,1,42.9605,collinear
Contig111628,17,42.3425,collinear
Contig111629,4,1.5085,LGC4.1
Contig111668,2,54.1735,collinear
Contig1117,4,36.5505,collinear
Contig111715,3,46.931,collinear
Contig111724,5,45.739,collinear
Contig111731,1,41.2815,collinear
Contig11174,4,7.6025,collinear
Contig111760,12,44.957,NA
Contig11179,1,70.6185,collinear
Contig111793,4,32.46,collinear
Contig111811,14,25.2435,LGC14.3
Contig111813,2,39.824,collinear
Contig111821,10,41.899,buffer
Contig111823,3,24.7115,collinear
Contig111955,11,53.1745,buffer
Contig111962,17,36.0035,collinear
Contig111963,2,50.0105,collinear
Contig112,10,38.7485,LGC10.2
Contig112003,14,10.2385,LGC14.1/2
Contig112056,13,39.1105,collinear
Contig112077,9,46.571,collinear
Contig11209,4,1.43375,buffer
Contig112090,1,0.9655,LGC1.1
Contig112124,1,80.9515,buffer
Contig112174,5,39.272,collinear
Contig112175,5,39.272,collinear
Contig11223,13,26.4255,collinear
Contig112269,4,13.24,collinear
Contig11229,3,62.838,collinear
Contig112298,1,0.9655,LGC1.1
Contig112306,1,8.6855,collinear
Contig112349,11,52.3195,buffer
Contig112360,2,23.687,collinear
Contig112373,6,29.3,buffer
Contig112381,7,15.9345,collinear
Contig112414,3,30.583,collinear
Contig112443,13,45.0935,collinear
Contig112445,2,38.415,collinear
Contig112487,4,1.43375,buffer
Contig112513,4,4.941,collinear
Contig11256,2,52.486,collinear
Contig112597,9,52.999,collinear
Contig11260,10,2.839,LGC10.1
Contig112600,8,50.6905,collinear
Contig112607,15,31.2575,collinear
Contig112617,3,8.635,collinear
Contig112641,9,28.0725,LGC9.1
Contig112646,3,30.3035,collinear
Contig11266,15,34.669,collinear
Contig112706,9,28.0725,LGC9.1
Contig112715,2,0.6405,buffer
Contig112744,12,8.307,NA
Contig112752,14,16.4135,buffer
Contig112825,10,3.12,buffer
Contig112851,8,10.1185,collinear
Contig112859,2,42.6365,collinear
Contig1129,17,62.3215,buffer
Contig11290,15,30.9675,collinear
Contig112933,1,32.359,collinear
Contig112935,14,10.2385,LGC14.1/2
Contig11295,12,46.1125,NA
Contig112983,16,2.097,collinear
Contig113,17,40.6465,collinear
Contig113019,4,12.657,collinear
Contig113028,15,6.157,collinear
Contig113041,8,50.6905,collinear
Contig113074,3,30.583,collinear
Contig113078,16,55.8855,collinear
Contig113110,1,46.538,collinear
Contig11312,3,0,collinear
Contig113122,12,8.307,NA
Contig11313,15,40.3265,collinear
Contig113130,14,17.3545,buffer
Contig113168,14,17.3545,buffer
Contig113169,2,63.36333333,collinear
Contig113179,5,27.365,collinear
Contig11318,11,52.908,LGC11.1
Contig11325,9,18.6395,buffer
Contig113263,4,8.927,collinear
Contig113287,3,46.931,collinear
Contig11333,14,16.66807143,buffer
Contig113341,13,39.676,collinear
Contig113391,15,56.494,collinear
Contig1134,17,36.0035,collinear
Contig11342,2,52.486,collinear
Contig11346,1,0.9655,LGC1.1
Contig11349,12,1.276,NA
Contig113590,16,12.7565,collinear
Contig113610,10,32.786,LGC10.2
Contig113612,9,28.0725,LGC9.1
Contig113633,14,11.709,buffer
Contig1137,9,32.454,LGC9.1
Contig113724,11,52.908,LGC11.1
Contig11373,5,27.365,collinear
Contig1138,16,47.657,collinear
Contig113898,8,46.622,collinear
Contig11390,7,37.7405,buffer
Contig113922,1,0.9655,LGC1.1
Contig113927,13,24.672,collinear
Contig1140,15,34.669,collinear
Contig11409,12,49.0475,NA
Contig114125,12,3.321,NA
Contig114145,5,51.5745,collinear
Contig114179,11,14.3545,collinear
Contig114190,6,31.0045,collinear
Contig11420,14,8.8095,LGC14.1/2
Contig114228,2,36.868,collinear
Contig114241,12,32.98692457,NA
Contig11430,8,31.7975,collinear
Contig11432,15,46.8315,collinear
Contig114331,11,53.1745,buffer
Contig114335,11,52.602,buffer
Contig114372,2,17.7745,collinear
Contig114377,8,36.585,collinear
Contig11440,6,41.447,collinear
Contig114402,3,32.5745,collinear
Contig114470,4,1.5085,LGC4.1
Contig114499,7,49.158,LGC7.2
Contig1145,15,38.207,collinear
Contig114505,11,52.908,LGC11.1
Contig114544,1,52.947,collinear
Contig114607,1,73.803,collinear
Contig114613,1,21.8705,collinear
Contig11464,4,55.9695,collinear
Contig114644,1,54.2015,collinear
Contig114699,14,34.6545,buffer
Contig11473,15,52.737,collinear
Contig114769,6,17.4365,LGC6.1/2
Contig11477,3,24.7115,collinear
Contig114773,6,38.913,collinear
Contig114824,15,5.31,collinear
Contig114877,3,30.938,collinear
Contig114904,2,39.824,collinear
Contig114930,3,25.89,collinear
Contig114942,10,17.901,LGC10.2
Contig114969,13,50.6885,collinear
Contig114979,15,38.4875,collinear
Contig115043,11,37.4515,collinear
Contig115064,1,29.663,collinear
Contig1151,10,3.401,buffer
Contig11510,6,36.0925,collinear
Contig115134,16,12.7565,collinear
Contig115175,11,52.908,LGC11.1
Contig115186,2,64.5765,collinear
Contig115229,10,33.4435,LGC10.2
Contig11530,5,51.5745,collinear
Contig115317,6,55.2685,collinear
Contig115397,1,58.79893161,collinear
Contig115442,12,48.712,NA
Contig115505,12,48.712,NA
Contig11551,1,46.538,collinear
Contig115539,4,4.3785,collinear
Contig115558,3,33.145,collinear
Contig115566,5,26.3795,collinear
Contig115587,7,39.766,collinear
Contig115589,15,38.207,collinear
Contig115598,13,24.672,collinear
Contig11563,10,0.579,buffer
Contig115676,9,46.2685,collinear
Contig115707,3,32.2195,collinear
Contig115733,2,19.766,collinear
Contig115738,15,8.74,collinear
Contig11574,17,30.59333488,collinear
Contig115755,1,75.534,buffer
Contig115777,7,40.339,collinear
Contig115788,14,0.3875,buffer
Contig11579,7,5.5455,collinear
Contig115827,1,29.90033333,collinear
Contig11583,4,40.3905,collinear
Contig11585,9,46.2685,collinear
Contig115853,12,57.8515,NA
Contig11589,14,1.551,LGC14.1/2
Contig116009,2,63.176,collinear
Contig116025,8,51.536,collinear
Contig116080,14,11.4125,buffer
Contig11609,4,32.46,collinear
Contig116195,12,34.1835,NA
Contig1162,9,52.999,collinear
Contig116232,11,48.656,collinear
Contig1163,5,21.9255,collinear
Contig11632,9,49.854,collinear
Contig116418,2,45.73,collinear
Contig116501,9,40.933,LGC9.1
Contig116510,9,11.628,collinear
Contig116534,1,0.9655,LGC1.1
Contig1166,2,1.2045,LGC2.1
Contig116603,13,24.672,collinear
Contig116627,4,54.4895,collinear
Contig11666,10,3.12,buffer
Contig116673,1,80.9515,buffer
Contig1167,14,36.269,collinear
Contig11672,10,41.57451042,buffer
Contig116723,9,29.4955,LGC9.1
Contig116731,2,45.73,collinear
Contig116778,10,15.4495,LGC10.2
Contig116781,1,56.1725,collinear
Contig116952,11,2.9365,collinear
Contig117021,6,41.447,collinear
Contig117029,2,11.496,LGC2.1
Contig117031,12,34.1835,NA
Contig11709,7,5.5455,collinear
Contig117109,3,27.3695,collinear
Contig11711,1,61.236,collinear
Contig117133,8,31.38921429,collinear
Contig117170,2,18.2705,collinear
Contig117175,3,15.7065,collinear
Contig117221,3,61.665,collinear
Contig117252,6,31.0045,collinear
Contig117261,16,18.342,collinear
Contig117331,10,3.12,buffer
Contig117332,3,33.145,collinear
Contig11736,4,41.514,collinear
Contig117363,14,10.2385,LGC14.1/2
Contig117372,4,1.5085,LGC4.1
Contig117387,11,35.7495,collinear
Contig117388,8,41.409,collinear
Contig11739,2,30.506,collinear
Contig117400,6,42.291,collinear
Contig117430,10,27.509,LGC10.2
Contig117433,1,75.534,buffer
Contig117569,15,5.31,collinear
Contig117611,3,33.145,collinear
Contig117612,10,43.38725,buffer
Contig117616,4,1.5085,LGC4.1
Contig117643,5,35.723,collinear
Contig117662,1,42.9605,collinear
Contig117666,2,31.07,collinear
Contig117672,12,52.961,NA
Contig1177,5,53.756,collinear
Contig117713,14,10.2385,LGC14.1/2
Contig117766,11,52.3195,buffer
Contig117767,16,19.5285,collinear
Contig117774,9,11.628,collinear
Contig117831,5,44.689,collinear
Contig117839,12,52.961,NA
Contig117906,4,32.744,collinear
Contig117909,5,45.739,collinear
Contig117911,4,12.373,collinear
Contig11801,11,52.908,LGC11.1
Contig118016,6,41.7285,collinear
Contig118062,13,24.672,collinear
Contig11807,8,37.705,collinear
Contig118149,1,0.9655,LGC1.1
Contig11828,17,20.677,collinear
Contig1183,13,24.974,collinear
Contig118305,10,38.1865,LGC10.2
Contig118318,10,44.00533333,buffer
Contig11839,2,43.48,collinear
Contig118424,5,7.714,collinear
Contig118438,7,0.6905,collinear
Contig118476,12,40.8545,NA
Contig1185,4,34.929,collinear
Contig11854,17,24.623,collinear
Contig1186,12,53.8045,NA
Contig11862,8,10.1185,collinear
Contig118685,12,55.2365,NA
Contig118694,2,35.027,collinear
Contig1187,13,32.067,collinear
Contig118724,9,11.628,collinear
Contig118781,7,37.7405,buffer
Contig118790,13,0,collinear
Contig118816,12,34.8625,NA
Contig118819,13,5.1805,collinear
Contig118872,17,42.3425,collinear
Contig118905,5,50.3275,collinear
Contig118933,7,13.5305,collinear
Contig119,2,53.894,collinear
Contig1190,12,33.904,NA
Contig119016,1,42.9605,collinear
Contig119071,4,53.623,collinear
Contig119073,4,32.744,collinear
Contig119150,1,48.625,collinear
Contig119176,13,32.067,collinear
Contig119203,1,12.85,collinear
Contig119272,10,33.4435,LGC10.2
Contig119324,17,24.3355,collinear
Contig119354,4,54.4895,collinear
Contig1194,6,38.913,collinear
Contig119402,10,7.446,LGC10.2
Contig119465,12,46.1125,NA
Contig119475,1,35.667,collinear
Contig119485,9,40.933,LGC9.1
Contig119513,2,42.355,collinear
Contig119515,4,6.655,collinear
Contig119545,9,28.0725,LGC9.1
Contig1196,5,42.4935,collinear
Contig119665,7,25.169,collinear
Contig11969,1,1.126214286,buffer
Contig1197,13,26.4255,collinear
Contig119759,6,45.959,collinear
Contig119767,11,52.908,LGC11.1
Contig119778,10,7.154,LGC10.2
Contig119801,4,54.4895,collinear
