contig,LG,av,inv_status
Contig64566,1,28.033,collinear
Contig76207,1,28.033,collinear
Contig92946,1,28.033,collinear
Contig9696,1,28.033,collinear
Contig74167,1,28.5965,collinear
Contig53278,1,28.685375,collinear
Contig140678,1,28.952,collinear
Contig347143,1,28.952,collinear
Contig38054,1,28.952,collinear
Contig38055,1,28.952,collinear
Contig41651,1,28.952,collinear
Contig42301,1,28.952,collinear
Contig43218,1,28.952,collinear
Contig47665,1,28.952,collinear
Contig52941,1,28.952,collinear
Contig53090,1,28.952,collinear
Contig53977,1,28.952,collinear
Contig60760,1,28.952,collinear
Contig89901,1,28.952,collinear
Contig94492,1,28.952,collinear
Contig52427,1,29.189,collinear
Contig188159,1,29.3075,collinear
Contig208869,1,29.3075,collinear
Contig228211,1,29.3075,collinear
Contig307184,1,29.3075,collinear
Contig40357,1,29.3075,collinear
Contig59898,1,29.3075,collinear
Contig70078,1,29.3075,collinear
Contig72421,1,29.3075,collinear
Contig83136,1,29.3075,collinear
Contig95328,1,29.3075,collinear
Contig3336,1,29.48525,collinear
Contig66279,1,29.48525,collinear
Contig1926,1,29.5445,collinear
Contig51912,1,29.574125,collinear
Contig115064,1,29.663,collinear
Contig12658,1,29.663,collinear
Contig133354,1,29.663,collinear
Contig159559,1,29.663,collinear
Contig186825,1,29.663,collinear
Contig203986,1,29.663,collinear
Contig272225,1,29.663,collinear
Contig304982,1,29.663,collinear
Contig351286,1,29.663,collinear
Contig38313,1,29.663,collinear
Contig38701,1,29.663,collinear
Contig40481,1,29.663,collinear
Contig40548,1,29.663,collinear
Contig41055,1,29.663,collinear
Contig44337,1,29.663,collinear
Contig49931,1,29.663,collinear
Contig50660,1,29.663,collinear
Contig5200,1,29.663,collinear
Contig55024,1,29.663,collinear
Contig56228,1,29.663,collinear
Contig5823,1,29.663,collinear
Contig5839,1,29.663,collinear
Contig58965,1,29.663,collinear
Contig61414,1,29.663,collinear
Contig6355,1,29.663,collinear
Contig68423,1,29.663,collinear
Contig72067,1,29.663,collinear
Contig83826,1,29.663,collinear
Contig906,1,29.663,collinear
Contig99202,1,29.663,collinear
Contig45619,1,29.70255556,collinear
Contig115827,1,29.90033333,collinear
Contig3667,1,30.019,collinear
Contig10993,1,31.0895,collinear
Contig41808,1,31.0895,collinear
Contig44453,1,31.0895,collinear
Contig48822,1,31.0895,collinear
Contig49081,1,31.0895,collinear
Contig49240,1,31.0895,collinear
Contig54829,1,31.0895,collinear
Contig55324,1,31.0895,collinear
Contig59322,1,31.0895,collinear
Contig66077,1,31.0895,collinear
Contig75117,1,31.0895,collinear
Contig82458,1,31.0895,collinear
Contig85012,1,31.0895,collinear
Contig9447,1,31.0895,collinear
Contig54828,1,31.2425,collinear
Contig566,1,31.2425,collinear
Contig4598,1,31.2935,collinear
Contig83490,1,31.35725,collinear
Contig10484,1,31.3955,collinear
Contig12508,1,31.3955,collinear
Contig13587,1,31.3955,collinear
Contig1360,1,31.3955,collinear
Contig140604,1,31.3955,collinear
Contig149883,1,31.3955,collinear
Contig158946,1,31.3955,collinear
Contig1597,1,31.3955,collinear
Contig16560,1,31.3955,collinear
Contig173497,1,31.3955,collinear
Contig194870,1,31.3955,collinear
Contig2032,1,31.3955,collinear
Contig2357,1,31.3955,collinear
Contig2481,1,31.3955,collinear
Contig254167,1,31.3955,collinear
Contig332866,1,31.3955,collinear
Contig3554,1,31.3955,collinear
Contig355864,1,31.3955,collinear
Contig368109,1,31.3955,collinear
Contig38400,1,31.3955,collinear
Contig40577,1,31.3955,collinear
Contig40630,1,31.3955,collinear
Contig43521,1,31.3955,collinear
Contig43693,1,31.3955,collinear
Contig44528,1,31.3955,collinear
Contig48586,1,31.3955,collinear
Contig5030,1,31.3955,collinear
Contig52024,1,31.3955,collinear
Contig52778,1,31.3955,collinear
Contig55600,1,31.3955,collinear
Contig60332,1,31.3955,collinear
Contig64837,1,31.3955,collinear
Contig6603,1,31.3955,collinear
Contig66251,1,31.3955,collinear
Contig66536,1,31.3955,collinear
Contig66687,1,31.3955,collinear
Contig7083,1,31.3955,collinear
Contig74211,1,31.3955,collinear
Contig74523,1,31.3955,collinear
Contig74732,1,31.3955,collinear
Contig84724,1,31.3955,collinear
Contig8658,1,31.3955,collinear
Contig885,1,31.3955,collinear
Contig97775,1,31.3955,collinear
Contig3184,1,32.053,collinear
Contig45474,1,32.053,collinear
Contig101029,1,32.359,collinear
Contig112933,1,32.359,collinear
Contig193171,1,32.359,collinear
Contig2026,1,32.359,collinear
Contig20723,1,32.359,collinear
Contig38664,1,32.359,collinear
Contig39964,1,32.359,collinear
Contig43924,1,32.359,collinear
Contig44189,1,32.359,collinear
Contig44343,1,32.359,collinear
Contig46424,1,32.359,collinear
Contig47856,1,32.359,collinear
Contig49025,1,32.359,collinear
Contig54424,1,32.359,collinear
Contig54628,1,32.359,collinear
Contig55535,1,32.359,collinear
Contig57657,1,32.359,collinear
Contig58105,1,32.359,collinear
Contig58452,1,32.359,collinear
Contig58475,1,32.359,collinear
Contig6023,1,32.359,collinear
Contig61573,1,32.359,collinear
Contig67937,1,32.359,collinear
Contig72689,1,32.359,collinear
Contig7763,1,32.359,collinear
Contig80188,1,32.359,collinear
Contig83326,1,32.359,collinear
Contig90132,1,32.359,collinear
Contig92985,1,32.359,collinear
Contig9366,1,32.359,collinear
Contig97440,1,32.359,collinear
Contig39963,1,33.67989443,collinear
Contig42830,1,33.67989443,collinear
Contig47599,1,33.67989443,collinear
Contig5360,1,33.67989443,collinear
Contig735,1,33.67989443,collinear
Contig101267,1,35.104,collinear
Contig165111,1,35.104,collinear
Contig185920,1,35.104,collinear
Contig188477,1,35.104,collinear
Contig254615,1,35.104,collinear
Contig38117,1,35.104,collinear
Contig38886,1,35.104,collinear
Contig4177,1,35.104,collinear
Contig42380,1,35.104,collinear
Contig45574,1,35.104,collinear
Contig45746,1,35.104,collinear
Contig46895,1,35.104,collinear
Contig50583,1,35.104,collinear
Contig51048,1,35.104,collinear
Contig55145,1,35.104,collinear
Contig64796,1,35.104,collinear
Contig74535,1,35.104,collinear
Contig97639,1,35.104,collinear
Contig101065,1,35.667,collinear
Contig10587,1,35.667,collinear
Contig1078,1,35.667,collinear
Contig119475,1,35.667,collinear
Contig120418,1,35.667,collinear
Contig146863,1,35.667,collinear
Contig38887,1,35.667,collinear
Contig41203,1,35.667,collinear
Contig41577,1,35.667,collinear
Contig48957,1,35.667,collinear
Contig50878,1,35.667,collinear
Contig51517,1,35.667,collinear
Contig54885,1,35.667,collinear
Contig55448,1,35.667,collinear
Contig55478,1,35.667,collinear
Contig68819,1,35.667,collinear
Contig75065,1,35.667,collinear
Contig84100,1,35.667,collinear
Contig84846,1,35.667,collinear
Contig85735,1,35.667,collinear
Contig9943,1,35.667,collinear
Contig265623,1,35.808,collinear
Contig44087,1,35.949,collinear
Contig546,1,35.949,collinear
Contig55141,1,35.949,collinear
Contig62000,1,35.949,collinear
Contig82259,1,35.949,collinear
Contig99822,1,35.96877778,collinear
Contig55570,1,36.024,collinear
Contig45539,1,36.794,collinear
Contig56345,1,36.794,collinear
