,scaffold,output_order,start,end,mid,win_size,sites,lnL,topoC_count,topoA_count,topoB_couunt,topoC,topoA,topoB,scaffold.1,start_check,end_check,mid_check,sites_full,pi_Egglayer,pi_Brooder,dxy_Egglayer_Brooder,Fst_Egglayer_Brooder,scaffold.2,start_check_2,end_check_2,mid_check_2,sites_full_2,pi_arcana,pi_compressa,pi_n_sax,pi_spain,dxy_arcana_compressa,dxy_arcana_n_sax,dxy_arcana_spain,dxy_compressa_n_sax,dxy_compressa_spain,dxy_n_sax_spain,Fst_arcana_compressa,Fst_arcana_n_sax,Fst_arcana_spain,Fst_compressa_n_sax,Fst_compressa_spain,Fst_n_sax_spain,LG,av,inv_status
35947,Contig38400,39904,35852,38963,37406,3111,100,-1324.21913,9668,89,243,0.9668,0.0089,0.0243,Contig38400,35852,38963,37250,2135,0.0077,0.0037,0.0084,0.1788,Contig38400,35852,38963,37250,2135,0.0077,0.0069,0.0041,0.0035,0.0093,0.0085,0.0084,0.0101,0.0102,0.0038,0.0602,0.165,0.1663,0.1034,0.3055,-0.0022,1,31.3955,collinear
71107,Contig46895,71175,105714,108035,106871,2321,100,-1293.08112,9623,294,83,0.9623,0.0294,0.0083,Contig46895,105714,108035,106876,2182,0.0052,0.0013,0.0062,0.3359,Contig46895,105714,108035,106876,2182,0.0047,0.0059,0.0015,0,0.0066,0.006,0.0059,0.0078,0.0077,8.00E-04,0.0639,0.327,0.3385,0.2018,0.5542,0.0108,1,35.104,collinear
35942,Contig38400,39903,32190,35849,33899,3659,100,-1356.32875,9549,260,191,0.9549,0.026,0.0191,Contig38400,32190,35849,33824,2240,0.0045,0.0022,0.0057,0.2445,Contig38400,32190,35849,33824,2240,0.0039,0.0052,0.0023,0.0019,0.0061,0.0056,0.0057,0.0065,0.0064,0.0021,0.0866,0.2609,0.2762,0.1041,0.2939,0.0021,1,31.3955,collinear
35941,Contig38400,39900,22798,25450,24131,2652,100,-948.08123,9535,153,312,0.9535,0.0153,0.0312,Contig38400,22798,25450,24113,1938,0.0039,0.0024,0.0038,0.0799,Contig38400,22798,25450,24113,1938,0.0033,0.0056,0.0024,0.0027,0.0052,0.0035,0.0037,0.0051,0.0054,0.0026,0.0508,0.0889,0.093,0.0448,0.1207,0.0061,1,31.3955,collinear
95033,Contig5360,24940,220,6004,4268,5784,100,-1314.0752,9412,157,431,0.9412,0.0157,0.0431,Contig5360,220,6004,4080,1909,0.0044,0.0018,0.0056,0.2813,Contig5360,220,6004,4080,1909,0.0043,0.0038,0.0019,0.0015,0.0053,0.0056,0.0057,0.0063,0.0065,0.0018,0.0672,0.2756,0.2812,0.1512,0.4219,0.0111,1,33.67989443,collinear
95029,Contig5360,24944,31807,36447,33847,4640,100,-1661.27492,9400,273,327,0.94,0.0273,0.0327,Contig5360,31807,36447,34022,2818,0.0037,0.0011,0.0055,0.3966,Contig5360,31807,36447,34022,2818,0.0029,0.0052,0.0012,7.00E-04,0.006,0.0051,0.0052,0.0081,0.0082,0.001,0.1269,0.4117,0.4097,0.2645,0.5213,9.00E-04,1,33.67989443,collinear
35936,Contig38400,39901,25499,28373,26742,2874,100,-1200.88185,9389,324,287,0.9389,0.0324,0.0287,Contig38400,25499,28373,26752,2303,0.004,0.001,0.0043,0.292,Contig38400,25499,28373,26752,2303,0.0038,0.003,0.0011,3.00E-04,0.0044,0.0043,0.0041,0.0047,0.0047,7.00E-04,0.0646,0.2833,0.2616,0.1967,0.5442,0.0068,1,31.3955,collinear
95031,Contig5360,24943,15664,31755,18235,16091,100,-1934.78003,9345,520,135,0.9345,0.052,0.0135,Contig5360,15664,31755,18056,2108,0.0083,0.0032,0.0091,0.222,Contig5360,15664,31755,18056,2108,0.0085,0.0052,0.0033,0.0023,0.0083,0.0093,0.0092,0.0082,0.0081,0.0028,0.0416,0.218,0.2122,0.109,0.3597,0,1,33.67989443,collinear
35938,Contig38400,39895,560,8369,4479,7809,100,-1180.38277,9326,264,410,0.9326,0.0264,0.041,Contig38400,560,8369,4389,3030,0.0042,0.002,0.0045,0.1815,Contig38400,560,8369,4389,3030,0.0038,0.0053,0.002,0.0026,0.0055,0.0044,0.0046,0.0055,0.0056,0.0023,0.0573,0.2006,0.1645,0.0853,0.1643,0.0064,1,31.3955,collinear
71108,Contig46895,71176,108082,109907,109190,1825,100,-1156.794,9195,582,223,0.9195,0.0582,0.0223,Contig46895,108082,109907,108977,1555,0.0058,0.0019,0.0058,0.2025,Contig46895,108082,109907,108977,1555,0.0044,0.0104,0.002,0.0015,0.0095,0.0051,0.0055,0.0096,0.0098,0.0019,0.089,0.2192,0.2454,0.1295,0.2851,0.0131,1,35.104,collinear
46927,Contig40577,49865,49346,56233,52831,6887,100,-1095.49012,9156,409,435,0.9156,0.0409,0.0435,Contig40577,49346,56233,52615,2389,0.0037,9.00E-04,0.004,0.2824,Contig40577,49346,56233,52615,2389,0.0037,0.0034,7.00E-04,0.002,0.004,0.0039,0.0042,0.0042,0.0044,0.0014,0.0301,0.3125,0.1614,0.2096,0.2241,0.0168,1,31.3955,collinear
71104,Contig46895,71174,95819,105695,102407,9876,100,-1195.64907,9154,325,521,0.9154,0.0325,0.0521,Contig46895,95819,105695,102734,3526,0.0049,0.002,0.0043,0.1116,Contig46895,95819,105695,102734,3526,0.0052,0.0043,0.0024,0.0017,0.0055,0.0046,0.0045,0.0049,0.005,0.002,0.0388,0.0964,0.1054,0.0654,0.2506,-7.00E-04,1,35.104,collinear
35943,Contig38400,39905,38980,41552,40300,2572,100,-1469.2901,9116,401,483,0.9116,0.0401,0.0483,Contig38400,38980,41552,40264,2197,0.0086,0.0031,0.0069,0.0859,Contig38400,38980,41552,40264,2197,0.0078,0.0087,0.0032,0.0023,0.0109,0.0063,0.006,0.011,0.011,0.0027,0.0783,0.0648,0.0659,0.1312,0.352,-0.0013,1,31.3955,collinear
95027,Contig5360,24942,10390,15652,12310,5262,100,-1551.62378,9106,353,541,0.9106,0.0353,0.0541,Contig5360,10390,15652,12401,2226,0.0076,0.0015,0.0067,0.2089,Contig5360,10390,15652,12401,2226,0.0064,0.0119,0.0015,0.0015,0.011,0.0061,0.0065,0.0099,0.0103,0.0018,0.0616,0.2338,0.1972,0.1442,0.2546,0.0453,1,33.67989443,collinear
32718,Contig3554,18517,3099,6399,5129,3300,100,-1473.80229,9080,474,446,0.908,0.0474,0.0446,Contig3554,3099,6399,4850,1690,0.006,0.0025,0.0098,0.3885,Contig3554,3099,6399,4850,1690,0.0058,0.0054,0.0023,0.0031,0.0065,0.0096,0.0096,0.0108,0.0107,0.0029,0.036,0.4018,0.3217,0.2288,0.4062,0.0241,1,31.3955,collinear
95024,Contig5360,24941,6011,10341,8401,4330,100,-1373.10171,9052,714,234,0.9052,0.0714,0.0234,Contig5360,6011,10341,8720,2327,0.0051,7.00E-04,0.0042,0.2186,Contig5360,6011,10341,8720,2327,0.0049,0.0042,7.00E-04,2.00E-04,0.0058,0.0042,0.0041,0.0044,0.0043,5.00E-04,0.0622,0.2247,0.1765,0.1783,0.4072,0.0034,1,33.67989443,collinear
35948,Contig38400,39906,41671,46924,43346,5253,100,-1038.94859,8939,660,401,0.8939,0.066,0.0401,Contig38400,41671,46924,43608,2855,0.0021,0.0011,0.0024,0.1884,Contig38400,41671,46924,43608,2855,0.0022,0.0018,0.001,0.0013,0.0021,0.0024,0.0024,0.0025,0.0024,0.0012,0.0073,0.1877,0.1343,0.0978,0.1948,0.006,1,31.3955,collinear
35935,Contig38400,39896,8370,11476,10028,3106,100,-1078.10624,8885,472,643,0.8885,0.0472,0.0643,Contig38400,8370,11476,9981,2599,0.0044,0.0021,0.0049,0.1979,Contig38400,8370,11476,9981,2599,0.0038,0.0049,0.0019,0.0024,0.0052,0.0045,0.0049,0.0062,0.0066,0.0022,0.0506,0.2075,0.1945,0.1258,0.2768,0.0088,1,31.3955,collinear
95040,Contig5360,24946,38894,42836,40847,3942,100,-1946.05551,8872,727,401,0.8872,0.0727,0.0401,Contig5360,38894,42836,40904,2878,0.0054,0.0016,0.0048,0.159,Contig5360,38894,42836,40904,2878,0.005,0.0035,0.0017,0.001,0.0064,0.0046,0.0044,0.0058,0.0059,0.0014,0.1005,0.1588,0.1433,0.1619,0.4577,0.0038,1,33.67989443,collinear
70104,Contig4664,22926,5142,7676,6185,2534,100,-1256.33723,8827,1145,28,0.8827,0.1145,0.0028,Contig4664,5142,7676,6308,1879,0.0113,0.0087,0.012,0.0794,Contig4664,5142,7676,6308,1879,0.0112,0.0109,0.0083,0.0101,0.0112,0.0121,0.0122,0.0116,0.0119,0.0095,0.0022,0.0885,0.0607,0.0241,0.0495,0.0093,1,46.538,collinear
57796,Contig43,385,56015,60093,58588,4078,100,-989.98254,8660,616,724,0.866,0.0616,0.0724,Contig43,56015,60093,58114,3218,0.0048,0.0027,0.0041,0.0421,Contig43,56015,60093,58114,3218,0.0033,0.0056,0.0027,0.0033,0.0098,0.0033,0.0037,0.0097,0.01,0.0031,0.2691,0.0361,0.0486,0.1689,0.3572,0.0078,1,48.9465,collinear
57801,Contig43,383,24935,28830,26690,3895,100,-966.37323,8660,592,748,0.866,0.0592,0.0748,Contig43,24935,28830,26886,3279,0.0049,0.0033,0.0048,0.067,Contig43,24935,28830,26886,3279,0.0032,0.0044,0.0034,0.0026,0.0098,0.004,0.0043,0.0092,0.009,0.0033,0.3092,0.0776,0.1764,0.1424,0.4159,0.0223,1,48.9465,collinear
71105,Contig46895,71173,93608,95818,94800,2210,100,-1233.25533,8647,489,864,0.8647,0.0489,0.0864,Contig46895,93608,95818,94713,2139,0.0038,0.0016,0.0052,0.3047,Contig46895,93608,95818,94713,2139,0.0034,0.0045,0.0016,0.001,0.0049,0.005,0.0051,0.0062,0.0059,0.0016,0.0625,0.3163,0.3311,0.1562,0.3975,0.0511,1,35.104,collinear
35940,Contig38400,39902,28380,32181,29946,3801,100,-1188.01409,8631,436,933,0.8631,0.0436,0.0933,Contig38400,28380,32181,30079,2375,0.003,0.001,0.0027,0.155,Contig38400,28380,32181,30079,2375,0.0027,0.0034,0.001,0.0015,0.004,0.0025,0.003,0.0037,0.0042,0.0013,0.0738,0.1561,0.1406,0.1282,0.2529,0.0174,1,31.3955,collinear
95039,Contig5360,24948,45507,54877,47567,9370,100,-1688.3036,8577,567,856,0.8577,0.0567,0.0856,Contig5360,45507,54877,48349,3074,0.0046,0.0028,0.0044,0.0713,Contig5360,45507,54877,48349,3074,0.0042,0.005,0.0028,0.0021,0.0054,0.0041,0.0039,0.0051,0.005,0.0024,0.0442,0.0742,0.0948,0.0426,0.1698,-0.0011,1,33.67989443,collinear
84064,Contig50496,82675,20106,23358,21650,3252,100,-1862.36592,8520,791,689,0.852,0.0791,0.0689,Contig50496,20106,23358,21708,2416,0.0062,0.0049,0.0073,0.1157,Contig50496,20106,23358,21708,2416,0.0062,0.0048,0.0044,0.0051,0.0061,0.0071,0.0077,0.0071,0.0074,0.0054,0.0263,0.1258,0.1417,0.0544,0.1581,0.0377,1,75.534,buffer
95038,Contig5360,24945,36493,38890,37895,2397,100,-1713.26698,8514,639,847,0.8514,0.0639,0.0847,Contig5360,36493,38890,37692,2239,0.005,0.0012,0.0041,0.144,Contig5360,36493,38890,37692,2239,0.0038,0.0073,0.0013,6.00E-04,0.0082,0.0033,0.0031,0.0086,0.0085,0.001,0.1361,0.1307,0.1308,0.2141,0.4378,0.0023,1,33.67989443,collinear
93397,Contig53090,91024,132815,134591,133622,1776,100,-1360.85019,8397,871,732,0.8397,0.0871,0.0732,Contig53090,132815,134591,133737,1446,0.0052,0.0053,0.0063,0.071,Contig53090,132815,134591,133737,1446,0.0053,0.0042,0.0055,0.0041,0.0053,0.0066,0.006,0.0059,0.0052,0.0053,0.0248,0.0787,0.103,0.0202,0.084,0.0253,1,28.952,collinear
36246,Contig38463,40194,105561,108676,107201,3115,100,-1163.69873,8279,1533,188,0.8279,0.1533,0.0188,Contig38463,105561,108676,107076,2792,0.0036,0.0045,0.0069,0.203,Contig38463,105561,108676,107076,2792,0.0025,0.0035,0.0043,0.003,0.0068,0.0069,0.0082,0.0056,0.0072,0.0054,0.2614,0.2614,0.4779,0.0413,0.3292,0.1001,1,37.49775,collinear
35945,Contig38400,39907,46936,52316,50544,5380,100,-1153.75025,8266,769,965,0.8266,0.0769,0.0965,Contig38400,46936,52316,50561,2416,0.0036,0.0021,0.0034,0.0701,Contig38400,46936,52316,50561,2416,0.0034,0.0034,0.0021,0.0023,0.0044,0.0033,0.0033,0.004,0.004,0.0023,0.0663,0.0776,0.0638,0.0584,0.1438,0.0068,1,31.3955,collinear
46912,Contig40577,49885,135547,138327,136954,2780,100,-1206.33701,8227,935,838,0.8227,0.0935,0.0838,Contig40577,135547,138327,136897,2015,0.0057,0.0038,0.0057,0.0826,Contig40577,135547,138327,136897,2015,0.0056,0.004,0.0034,0.004,0.0057,0.0056,0.0057,0.0056,0.0059,0.0043,0.0389,0.0958,0.0755,0.0549,0.1519,0.0409,1,31.3955,collinear
35946,Contig38400,39898,17499,19918,18796,2419,100,-942.17063,8218,1099,683,0.8218,0.1099,0.0683,Contig38400,17499,19918,18700,2335,0.0022,6.00E-04,0.0019,0.1638,Contig38400,17499,19918,18700,2335,0.0021,0.0022,6.00E-04,7.00E-04,0.0023,0.0019,0.0021,0.0018,0.002,8.00E-04,0.0163,0.1808,0.1633,0.054,0.1566,0.0471,1,31.3955,collinear
34585,Contig38152,38660,2870,6411,4296,3541,100,-1238.90162,8204,668,1128,0.8204,0.0668,0.1128,Contig38152,2870,6411,4426,1836,0.0037,0.0034,0.0059,0.2017,Contig38152,2870,6411,4426,1836,0.0039,0.0015,0.0025,0.0039,0.0032,0.0061,0.005,0.0053,0.0046,0.006,0.0346,0.2813,0.1166,0.1263,0.1858,0.2091,1,0.9655,LGC1.1
49268,Contig41049,51938,1745,6592,3479,4847,100,-1190.89056,8185,376,1439,0.8185,0.0376,0.1439,Contig41049,1745,6592,3428,1960,0.0066,0.0056,0.0072,0.0684,Contig41049,1745,6592,3428,1960,0.0059,0.0074,0.0056,0.0051,0.0088,0.0069,0.0068,0.0092,0.0097,0.0056,0.0825,0.0743,0.0997,0.0483,0.1925,0.0128,1,28.033,collinear
95037,Contig5360,24955,73400,75219,74367,1819,100,-1922.30059,8165,1273,562,0.8165,0.1273,0.0562,Contig5360,73400,75219,74346,1495,0.0058,0.004,0.0064,0.1167,Contig5360,73400,75219,74346,1495,0.0055,0.0059,0.0042,0.0022,0.0066,0.0064,0.0064,0.0065,0.0063,0.0034,0.0389,0.114,0.2071,0.0336,0.2173,0.0101,1,33.67989443,collinear
46915,Contig40577,49870,74334,77093,76090,2759,100,-1291.72202,8012,870,1118,0.8012,0.087,0.1118,Contig40577,74334,77093,76049,1470,0.0053,0.004,0.0062,0.1272,Contig40577,74334,77093,76049,1470,0.0044,0.0055,0.004,0.0032,0.0077,0.0057,0.0065,0.0087,0.0093,0.0038,0.1298,0.1216,0.2311,0.0912,0.3371,0.0161,1,31.3955,collinear
95034,Contig5360,24949,54889,57491,56169,2602,100,-2182.29947,7981,463,1556,0.7981,0.0463,0.1556,Contig5360,54889,57491,56111,1993,0.0077,0.0018,0.0071,0.208,Contig5360,54889,57491,56111,1993,0.0078,0.0044,0.0022,0.0014,0.0092,0.0073,0.0072,0.0078,0.0078,0.0019,0.0963,0.1968,0.1689,0.1672,0.4652,0.0011,1,33.67989443,collinear
45481,Contig40274,48595,116668,121502,119015,4834,100,-1314.57955,7954,915,1131,0.7954,0.0915,0.1131,Contig40274,116668,121502,119270,1956,0.0064,0.0041,0.007,0.126,Contig40274,116668,121502,119270,1956,0.0061,0.0054,0.0037,0.0058,0.007,0.007,0.0069,0.0067,0.0071,0.0051,0.0496,0.1585,0.0652,0.0559,0.0935,0.0183,1,15.465,collinear
73961,Contig47599,73709,20893,28067,25099,7174,100,-1332.95567,7899,1262,839,0.7899,0.1262,0.0839,Contig47599,20893,28067,24691,2054,0.0034,0.0033,0.0042,0.094,Contig47599,20893,28067,24691,2054,0.0031,0.0036,0.0032,0.0034,0.0041,0.0042,0.0041,0.0045,0.0043,0.0036,0.0555,0.1125,0.1108,0.0342,0.0816,0.021,1,33.67989443,collinear
34583,Contig38152,38661,6419,7922,7059,1503,100,-1490.07991,7834,1355,811,0.7834,0.1355,0.0811,Contig38152,6419,7922,7139,1217,0.0069,0.0067,0.0111,0.1972,Contig38152,6419,7922,7139,1217,0.0062,0.006,0.0052,0.0072,0.0089,0.0112,0.0091,0.0129,0.0107,0.0112,0.0995,0.2816,0.1431,0.1299,0.1873,0.1905,1,0.9655,LGC1.1
95036,Contig5360,24950,57495,64828,62110,7333,100,-2000.11371,7828,1439,733,0.7828,0.1439,0.0733,Contig5360,57495,64828,62088,1730,0.0067,0.002,0.0063,0.1877,Contig5360,57495,64828,62088,1730,0.0063,0.0055,0.0021,0.0018,0.0079,0.0062,0.0064,0.0064,0.0063,0.002,0.077,0.204,0.1803,0.1093,0.2751,0.0034,1,33.67989443,collinear
152750,Contig95541,140954,4845,16979,11555,12134,100,-2773.40965,7827,1038,1135,0.7827,0.1038,0.1135,Contig95541,4845,16979,11776,1739,0.0052,0.0072,0.007,0.0417,Contig95541,4845,16979,11776,1739,0.0048,0.0037,0.0069,0.0065,0.0066,0.0065,0.0083,0.0081,0.0089,0.0081,0.1086,0.038,0.1793,0.0411,0.2045,0.0503,1,22.1525,collinear
146514,Contig85185,136046,6140,15917,9729,9777,100,-2188.09313,7824,1357,819,0.7824,0.1357,0.0819,Contig85185,6140,15917,9772,1515,0.0089,0.0086,0.0103,0.0649,Contig85185,6140,15917,9772,1515,0.0087,0.0081,0.0085,0.0085,0.0094,0.01,0.0098,0.0119,0.0117,0.0086,0.0289,0.0614,0.0581,0.0437,0.1343,0.0022,1,0.9655,LGC1.1
95025,Contig5360,24951,64848,67501,66212,2653,100,-1512.20767,7811,1269,920,0.7811,0.1269,0.092,Contig5360,64848,67501,66139,1667,0.0062,0.002,0.0049,0.0947,Contig5360,64848,67501,66139,1667,0.0062,0.0036,0.002,0.0017,0.0064,0.005,0.0049,0.0047,0.0045,0.0019,0.0579,0.096,0.085,0.0849,0.2454,3.00E-04,1,33.67989443,collinear
95028,Contig5360,24952,67539,70204,68777,2665,100,-1677.73915,7716,1119,1165,0.7716,0.1119,0.1165,Contig5360,67539,70204,68701,1809,0.0055,0.0028,0.0054,0.1243,Contig5360,67539,70204,68701,1809,0.0056,0.0035,0.0029,0.002,0.0056,0.0055,0.0056,0.0047,0.0045,0.0025,0.0504,0.1253,0.1596,0.0527,0.2231,0.0031,1,33.67989443,collinear
22547,Contig2061,11213,45286,48971,47032,3685,100,-1102.80564,7710,1512,778,0.771,0.1512,0.0778,Contig2061,45286,48971,46985,2953,0.0025,0.0018,0.003,0.1318,Contig2061,45286,48971,46985,2953,0.0016,0.0014,0.0015,0.0031,0.0053,0.0024,0.0035,0.0054,0.0059,0.0027,0.3714,0.1757,0.1853,0.2182,0.3402,0.0485,1,37.6385,collinear
22548,Contig2061,11212,42021,45204,43693,3183,100,-1401.23283,7663,1014,1323,0.7663,0.1014,0.1323,Contig2061,42021,45204,43622,2913,0.0047,0.0029,0.0059,0.1901,Contig2061,42021,45204,43622,2913,0.0035,0.0016,0.003,0.0017,0.0086,0.0054,0.006,0.0081,0.0076,0.0027,0.3173,0.2128,0.3465,0.1723,0.5712,0.0303,1,37.6385,collinear
35937,Contig38400,39899,19999,22767,21258,2768,100,-967.35859,7659,1258,1083,0.7659,0.1258,0.1083,Contig38400,19999,22767,21252,1848,0.0048,0.0025,0.0049,0.1335,Contig38400,19999,22767,21252,1848,0.0048,0.0052,0.0026,0.0024,0.0053,0.0049,0.0049,0.0056,0.0056,0.0025,0.0139,0.1285,0.13,0.0598,0.1817,0.0013,1,31.3955,collinear
123366,Contig66077,116915,23603,32830,29341,9227,100,-2044.72014,7640,946,1414,0.764,0.0946,0.1414,Contig66077,23603,32830,29788,2817,0.0052,0.0054,0.006,0.0485,Contig66077,23603,32830,29788,2817,0.0048,0.0034,0.0053,0.0055,0.0062,0.0057,0.0063,0.0069,0.0077,0.0059,0.099,0.0488,0.0924,0.049,0.2003,0.0219,1,31.0895,collinear
22214,Contig2032,11033,40134,42696,41472,2562,100,-1157.80367,7581,1074,1345,0.7581,0.1074,0.1345,Contig2032,40134,42696,41408,2120,0.0061,0.0041,0.0078,0.1827,Contig2032,40134,42696,41408,2120,0.0062,0.0038,0.0042,0.003,0.0062,0.0079,0.0084,0.0065,0.007,0.0038,0.0496,0.1827,0.2522,0.058,0.3058,0.0102,1,31.3955,collinear
49269,Contig41049,51939,6595,15097,9861,8502,100,-916.01917,7543,1522,935,0.7543,0.1522,0.0935,Contig41049,6595,15097,10660,2847,0.0045,0.0044,0.0058,0.1075,Contig41049,6595,15097,10660,2847,0.0048,0.0037,0.0047,0.0031,0.0046,0.006,0.0066,0.0053,0.006,0.0043,0.0202,0.097,0.2165,0.0264,0.2378,0.0211,1,28.033,collinear
12852,Contig139500,150293,3062,10335,7395,7273,100,-1852.14719,7521,967,1512,0.7521,0.0967,0.1512,Contig139500,3062,10335,7413,2413,0.0041,0.0043,0.0048,0.0515,Contig139500,3062,10335,7413,2413,0.0039,0.0029,0.004,0.005,0.0048,0.0046,0.0055,0.0053,0.0066,0.0053,0.0863,0.0586,0.0979,0.0464,0.1814,0.0431,1,62.0805,collinear
76857,Contig48338,76199,23492,38137,30093,14645,100,-1348.56649,7496,1128,1376,0.7496,0.1128,0.1376,Contig48338,23492,38137,30748,1863,0.0056,0.0037,0.0056,0.0731,Contig48338,23492,38137,30748,1863,0.0055,0.0025,0.0032,0.004,0.0059,0.0055,0.0062,0.005,0.0058,0.0051,0.086,0.0987,0.1115,0.0669,0.2127,0.0987,1,0.9655,LGC1.1
46901,Contig40577,49869,65324,74324,73517,9000,100,-1060.50496,7430,1705,865,0.743,0.1705,0.0865,Contig40577,65324,74324,73465,1497,0.005,0.0022,0.0047,0.1264,Contig40577,65324,74324,73465,1497,0.0049,0.004,0.0021,0.0023,0.0053,0.0046,0.0053,0.0044,0.005,0.0023,0.0443,0.1296,0.1529,0.0612,0.2122,0.0112,1,31.3955,collinear
95032,Contig5360,24947,42844,45475,44171,2631,100,-2054.87171,7427,798,1775,0.7427,0.0798,0.1775,Contig5360,42844,45475,44141,2374,0.0077,0.0037,0.0071,0.1043,Contig5360,42844,45475,44141,2374,0.007,0.0075,0.0039,0.0025,0.0096,0.0067,0.0064,0.0096,0.0097,0.0032,0.0785,0.0963,0.1184,0.0927,0.3303,0.0022,1,33.67989443,collinear
65347,Contig45474,66080,107739,113158,110772,5419,100,-1037.90451,7408,1015,1577,0.7408,0.1015,0.1577,Contig45474,107739,113158,110366,3664,0.0038,0.003,0.0037,0.0335,Contig45474,107739,113158,110366,3664,0.0035,0.004,0.0029,0.0036,0.0048,0.0034,0.0042,0.0049,0.0055,0.0035,0.0743,0.0302,0.074,0.0487,0.1564,0.0241,1,32.053,collinear
